
 Lista de Imóveis da Caixa;;Data de geração:;03/03/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 1444413830678 ;RJ ;ANGRA DOS REIS ;PARQUE MAMBUCABA MAM ;RUA TRES DE MAIO, N. SN, QD 60 LT 21 ;305.880,78;770.695,00;60.32;Não;Casa, 0.00 de área total, 356.53 de área privativa, 1200.00 de área do terreno, 4 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413830678
 1444400657530 ;RJ ;ANGRA DOS REIS ;PRAIA DA RIBEIRA (CUNHAMBEBE) ;R ILHA GRANDE, N. S/N, CASA 09 ;369.000,00;369.000,00;0.00;Não;Casa, 81.75 de área total, 81.75 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400657530
 1444410445706 ;RJ ;ANGRA DOS REIS ;PRAIA GRANDE ;ESTRADA VEREADOR BENEDITO ADELINO, N. 3221, Apto 01, BL 05, PRIMEIRO DISTRITO ;555.721,23;553.000,00;0.00;Não;Apartamento, 93.61 de área total, 93.61 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444410445706
 1444414820951 ;RJ ;ARARUAMA ;VILA CANAA ;RUA B, N. 16, . ;82.450,49;228.000,00;63.84;Não;Casa, 0.00 de área total, 70.00 de área privativa, 128.42 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414820951
 8444404425055 ;RJ ;ARARUAMA ;CENTRO (SAO VICENTE) ;ESTRADA RJ-138, N. SN, Apto 31, CS 31, ESTRADA DE SÃO VICENTE ;60.118,32;128.000,00;53.04;Não;Casa, 0.00 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404425055
 1444419919328 ;RJ ;ARARUAMA ;ITATIQUARA ;ESTRADA DE BOA VISTA, N. 777, UNIDADE 68 ;52.813,12;103.000,00;48.73;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 500.64 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419919328
 8444413568670 ;RJ ;ARARUAMA ;ITATIQUARA ;RUA WALDOMIRO MAXIMO CARVALHO, N. 106, CS 01, LT 510, QD 34 ;85.037,32;164.000,00;48.15;Não;Casa, 0.00 de área total, 52.01 de área privativa, 115.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413568670
 8444402030398 ;RJ ;ARARUAMA ;MONTEIRO ;ESTRADA SAO DE VICENTE, N. SN, CS 19 ;114.384,30;220.000,00;48.01;Não;Casa, 0.00 de área total, 49.23 de área privativa, 58.46 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402030398
 1444410628797 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA DO CONTORNO, N. 276, CS 104 QD 38 LT 14 ;77.985,99;140.000,00;44.30;Não;Casa, 0.00 de área total, 63.19 de área privativa, 750.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444410628797
 8444409862615 ;RJ ;ARARUAMA ;LAGOINHA ;RUA AMETISTA, N. 15, RUA G ;112.880,28;201.000,00;43.85;Não;Casa, 0.00 de área total, 98.00 de área privativa, 500.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409862615
 1555519715238 ;RJ ;ARARUAMA ;PARATY ;RUA AIMBERE, N. 444, QD 26 LT 08 ;288.050,21;510.000,00;43.52;Não;Casa, 0.00 de área total, 476.59 de área privativa, 576.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha, Terraco, 3 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555519715238
 8444403497923 ;RJ ;ARARUAMA ;MONTEIRO (SAO VICENTE) ; RUA DE CIRCULACAO INTERNA, N. 81, CS 08 ;76.464,05;132.000,00;42.08;Não;Casa, 58.46 de área total, 58.46 de área privativa, 190.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403497923
 8444402031041 ;RJ ;ARARUAMA ;BOA PERNA ;RUA DOMINGOS MOIELLA, N. 44, CASA 202 LT 30 QD A ;47.808,94;82.300,00;41.91;Não;Casa, 24.19 de área total, 24.19 de área privativa, 360.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402031041
 8444410169774 ;RJ ;ARARUAMA ;Jacaré ;RUA JAGUARI, N. 65, QD 03 LT 65 ;89.876,85;151.000,00;40.48;Não;Casa, 66.00 de área total, 66.00 de área privativa, 128.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410169774
 10221028 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA CARDOSO MOREIRA, N. 205, CS4, QD B, LT 04, LOT. MOINHO DOS VENT ;125.616,09;199.573,30;37.06;Não;Casa, 0.00 de área total, 64.00 de área privativa, 557.50 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10221028
 1444402383764 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINAÇÃO, N. SN,  CS 102 LT 4B ;129.661,20;206.000,00;37.06;Não;Casa, 81.57 de área total, 81.57 de área privativa, 1593.52 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402383764
 8088870005402 ;RJ ;ARARUAMA ;JAPAO ;AVENIDA GLADSTONE JOSE DE OLIVEIRA, N. 2120, CS46 ;118.961,00;189.000,00;37.06;Não;Casa, 56.76 de área total, 56.76 de área privativa, 123.73 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8088870005402
 8444404195882 ;RJ ;ARARUAMA ;SAO VICENTE ;ESTRADA DE SAO VICENTE, N. SN, Apto 12, ;88.277,22;140.000,00;36.95;Não;Apartamento, 0.00 de área total, 190.00 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404195882
 1444416100050 ;RJ ;ARARUAMA ;FATIMA ;RODOVIA RJ 124, N. SN, QD K LT 02 ;261.298,86;410.000,00;36.27;Não;Casa, 300.00 de área total, 68.00 de área privativa, 447.00 de área do terreno,  3 qto(s), WC, 2 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416100050
 1444422364102 ;RJ ;ARARUAMA ;BURACO DO PAN ;RUA EXISTENTE, N. 90, CS 101 ;611.821,73;960.000,00;36.27;Não;Casa, 193.32 de área total, 193.32 de área privativa, 1288.65 de área do terreno,  6 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422364102
 1444419829523 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA FRANCISCO BUARQUE DE HOLANDA, N. 129, LT 08 QD I1 ;289.340,69;454.000,00;36.27;Não;Casa, 269.66 de área total, 269.66 de área privativa, 520.40 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 5 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419829523
 1444421571309 ;RJ ;ARARUAMA ;PARQUE HOTEL ;AVENIDA 2, N. 612, Apto 304, QD 7 LT 66 ;412.979,67;648.000,00;36.27;Sim;Apartamento, 117.50 de área total, 117.50 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421571309
 1444423280310 ;RJ ;ARARUAMA ;PONTINHA ;AVENIDA JAMES MENDONCA CLARK, N. 57, LT 18 QD 01 ;484.358,87;760.000,00;36.27;Sim;Casa, 203.88 de área total, 203.88 de área privativa, 315.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423280310
 1787702559453 ;RJ ;ARARUAMA ;CENTRO ;RUA LUIS CLAUDIO, N. 129, Apto 301, QD 07 LT 06 ;680.000,00;680.000,00;0.00;Não;Apartamento, 133.26 de área total, 102.29 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702559453
 1444406096859 ;RJ ;ARARUAMA ;NOVO HORIZONTE (IGUABINHA) ;AV MARIA ANGELICA, N. 182, CS 11 ;222.000,00;222.000,00;0.00;Não;Casa, 0.00 de área total, 69.30 de área privativa, 192.31 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406096859
 1444403287637 ;RJ ;ARARUAMA ;OUTEIRO ;RUA EDU LOBO, N. 101, LT 17 ;314.000,00;314.000,00;0.00;Sim;Casa, 0.00 de área total, 151.47 de área privativa, 912.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403287637
 1444423237449 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA CARDOSO MOREIRA, N. 205, CS03, B04 ;250.000,00;239.972,95;0.00;Não;Casa, 63.76 de área total, 63.76 de área privativa, 135.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423237449
 1444412921319 ;RJ ;ARARUAMA ;PARATY ;AVENIDA NOVO HORIZONTE, N. 550, ;320.397,75;306.706,64;0.00;Não;Casa, 0.00 de área total, 110.79 de área privativa, 419.40 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444412921319
 8444431886327 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CASA01, 12 ;290.000,00;260.500,00;0.00;Não;Casa, 97.30 de área total, 97.30 de área privativa, 452.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431886327
 8444412430860 ;RJ ;ARARUAMA ;PONTINHA ;RUA APOLO, N. 105, CASA 03 ;257.119,31;170.000,00;0.00;Não;Casa, 55.72 de área total, 55.72 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412430860
 8555519021293 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA PARAISO, N. 111, 0851 ;244.497,67;127.000,00;0.00;Não;Casa, 59.23 de área total, 59.23 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519021293
 1444416674430 ;RJ ;ARARUAMA ;ITATIQUARA ;ESTRADA DO MORRO GRANDE, N. SN, LT 293 QD 21 ;487.134,31;238.700,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 2459.70 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416674430
