 Lista de Imóveis da Caixa;;Data de geração:;20/03/2026;;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso
;;;;;;;;;;;
1,55553E+12;MG ;BELO HORIZONTE ;SANTO ANTONIO ;AVENIDA PRUDENTE DE MORAIS, N. 621, SL 801 ;371.854,97;870.000,00;57.26;Sim;Comercial, 0.00 de área total, 64.00 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555531074050
1,4444E+12;MG ;BELO HORIZONTE ;DONA CLARA ;RUA DEPUTADO JOSE RAIMUNDO, N. 592, Apto 101,  LT 29 QD 07 ;207.266,98;372.000,00;44.29;Não;Apartamento, 0.00 de área total, 91.50 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400506729
1,4444E+12;MG ;BELO HORIZONTE ;SERRA ;RUA DOUTOR ALIPIO GOULART, N. 76, LT 06 QD 1K ;656.302,66;1.162.000,00;43.52;Não;Casa, 0.00 de área total, 273.00 de área privativa, 400.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), 2 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402845695
1,44441E+12;MG ;BELO HORIZONTE ;IPIRANGA ;RUA CONDE DE MONTE CRISTO, N. 135, Apto 1004, QD 101 BL A3 ;163.487,60;280.000,00;41.62;Não;Apartamento, 0.00 de área total, 54.77 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406153160
8,7877E+12;MG ;BELO HORIZONTE ;SOLIMOES ;RUA CAVIUNA, N. 337, Apto 503, BLOCO 06 ;103.704,06;175.000,00;40.75;Não;Apartamento, 181.32 de área total, 48.29 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787701794490
8,55554E+12;MG ;BELO HORIZONTE ;SANTA AMELIA ;RUA COMENDADOR TEIXEIRA DA COSTA, N. 342, Apto 301, BL17 ;94.815,14;160.000,00;40.75;Não;Apartamento, 52.62 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555538356505
8,7877E+12;MG ;BELO HORIZONTE ;SANTA AMELIA ;RUA COMENDADOR TEIXEIRA DA COSTA, N. 342, Apto 104, BL 10 ;94.815,14;160.000,00;40.75;Não;Apartamento, 52.62 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703677903
10208103;MG ;BELO HORIZONTE ;CENTRO ;RUA CURITIBA, N. 786, SL 501 ;464.360,76;780.000,00;40.47;Não;Sala, 0.00 de área total, 308.55 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10208103
8,78771E+12;MG ;BELO HORIZONTE ;ARAGUAIA ;RUA CAETANO PIRRI, N. 1541, Apto 1108, LOTES 3E4, QUARTEIRAO 181 VG 81 ;135.993,04;225.000,00;39.56;Não;Apartamento, 99.02 de área total, 48.68 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707217095
